FOG	HOG	Protein ID	sce Locus	Features	Protein description	Parent	Neofunc, Subfunct	References	Source	Suggested Analysis	SGD Description	PomBase Description	AspGD Description
FOG03406	HOG01228	RPT1	RPT1								ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; required for optimal CDC20 transcription; interacts with Rpn12p and Ubr1p; mutant has aneuploidy tolerance	19S proteasome regulatory subunit Rpt1 (predicted)	Ortholog(s) have role in positive regulation of RNA polymerase II transcriptional preinitiation complex assembly, positive regulation of protein catabolic process and proteasome regulatory particle assembly, more
FOG03407	HOG01228	RPT6	RPT6								ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; bound by ubiquitin-protein ligases Ubr1p and Ufd4p; localized mainly to the nucleus throughout the cell cycle; protein abundance increases in response to DNA replication stress	19S proteasome regulatory subunit Rpt6 (predicted)	Ortholog(s) have protein domain specific binding activity
FOG03408	HOG01228	RPT2	RPT2								ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; required for normal peptide hydrolysis by the core 20S particle; N-myristoylation of Rpt2p at Gly2 is involved in regulating the proper intracellular distribution of proteasome activity by controlling the nuclear localization of the 26S proteasome	19S proteasome regulatory subunit Rpt2	Protein similar to 26S ATP/ubiquitin-dependent proteinase chain S4
FOG03409	HOG01228	RPT5	RPT5								ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promoter region upon induction of transcription; similar to human TBP1	19S proteasome regulatory subunit Rpt5 (predicted)	Ortholog(s) have role in positive regulation of RNA polymerase II transcriptional preinitiation complex assembly, proteasome regulatory particle assembly, ubiquitin-dependent protein catabolic process
FOG03410	HOG01228	RPT4	RPT4								ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in degradation of ubiquitinated substrates; contributes preferentially to ERAD; required for spindle pole body duplication; mainly nuclear localization	19S proteasome regulatory subunit Rpt4 (predicted)	Ortholog(s) have protein domain specific binding activity
FOG03411	HOG01229	URE2	URE2								Nitrogen catabolite repression transcriptional regulator; inhibits GLN3 transcription in good nitrogen source; role in sequestering Gln3p and Gat1p to the cytoplasm; has glutathione peroxidase activity and can mutate to acquire GST activity; altered form creates [URE3] prion	glutathione S-transferase Gst1|glutathione S-transferase Gst2	Ortholog(s) have glutathione peroxidase activity, glutathione transferase activity and intracellular localization|Ortholog(s) have glutathione peroxidase activity, glutathione transferase activity and cytosol, nucleus localization|Ortholog(s) have glutathione peroxidase activity, glutathione transferase activity, phosphoprotein binding, transcription corepressor activity
FOG03412	HOG01229												Ortholog(s) have glutathione peroxidase activity, glutathione transferase activity
FOG03413	HOG01229												Ortholog of Aspergillus tubingensis : Asptu1_0113414, Aspergillus kawachii : Aspka1_0177730, Aspergillus acidus : Aspfo1_0205181 and Aspergillus niger ATCC 1015 : 177976-mRNA|Ortholog of Aspergillus tubingensis : Asptu1_0052964, Aspergillus glaucus : Aspgl1_0181752, Aspergillus kawachii : Aspka1_0173366 and Aspergillus acidus : Aspfo1_0130243
FOG03414	HOG01229												Ortholog of A. fumigatus Af293 : Afu6g03390, Aspergillus niger ATCC 1015 : 126931-mRNA, Aspergillus zonatus : Aspzo1_0020462, Aspzo1_0132229 and Aspergillus carbonarius ITEM 5010 : Acar5010_127540
FOG03415	HOG01229												Ortholog(s) have glutathione peroxidase activity, glutathione transferase activity and intracellular localization
FOG03417	HOG01230												Ortholog(s) have catalytic activity and role in sterigmatocystin biosynthetic process
FOG03418	HOG01230												Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process|Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process
FOG03419	HOG01230												Ortholog(s) have catalytic activity and role in sterigmatocystin biosynthetic process|Putative cytochrome P450 monooxygenase
FOG03420	HOG01230												Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process|Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process
FOG03421	HOG01230												Ortholog(s) have catalytic activity and role in sterigmatocystin biosynthetic process
FOG03422	HOG01230								added via ODB8				Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, monooxygenase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity|Ortholog(s) have catalytic activity and role in sterigmatocystin biosynthetic process|Ortholog(s) have catalytic activity and role in sterigmatocystin biosynthetic process|Ortholog(s) have catalytic activity and role in sterigmatocystin biosynthetic process|Putative cytochrome P450 monooxygenase|Ortholog(s) have catalytic activity and role in sterigmatocystin biosynthetic process
FOG03423	HOG01231	TYE7	TYE7								Serine-rich protein that contains a bHLH DNA binding motif; binds E-boxes of glycolytic genes and contributes to their activation; may function as a transcriptional activator in Ty1-mediated gene expression; bHLH stands for basic-helix-loop-helix		
FOG03424	HOG01231											sterol regulatory element binding protein, transcription factor Sre1	Ortholog(s) have RNA polymerase II core promoter proximal region sequence-specific DNA binding, sterol response element binding and transcriptional activator activity, more
FOG03428	HOG01231	HMS1	HMS1						added via ODB8		bHLH protein with similarity to myc-family transcription factors; overexpression confers hyperfilamentous growth and suppresses the pseudohyphal filamentation defect of a diploid mep1 mep2 homozygous null mutant	membrane-tethered transcription factor Sre2	Ortholog(s) have role in cellular response to hypoxia, pathogenesis and nucleus localization
FOG03429	HOG01232	MMS21	MMS21						|added via ODB8		SUMO ligase and component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; required for efficient sister chromatid cohesion; mutants are sensitive to methyl methanesulfonate and show increased spontaneous mutation and mitotic recombination; SUMOylates and inhibits Snf1p function	Smc5-6 complex non-SMC subunit 2, SUMO ligase	Has domain(s) with predicted SUMO transferase activity, zinc ion binding activity
FOG03430	HOG01233		UBP5;DOA4								Putative ubiquitin-specific protease; concentrates at the bud neck; UBP5 has a paralog, DOA4, that arose from the whole genome duplication|Ubiquitin hydrolase; deubiquitinates intralumenal vesicle (ILVs) cargo proteins; required for recycling ubiquitin from proteasome-bound ubiquitinated intermediates, acts at the late endosome/prevacuolar compartment to recover ubiquitin from ubiquitinated membrane proteins destined for the vacuole; DOA4 has a paralog, UBP5, that arose from the whole genome duplication	ubiquitin C-terminal hydrolase Ubp4	
FOG03431	HOG01233	UBP12	UBP12								Ubiquitin-specific protease; cleaves ubiquitin from ubiquitinated proteins; present in the nucleus and cytoplasm	CSN-associated deubiquitinating enzyme Ubp12	Ortholog(s) have ubiquitin-specific protease activity, role in protein deubiquitination and cytosol, nucleus localization
FOG03432	HOG01233	UBP8	UBP8								Ubiquitin-specific protease component of the SAGA acetylation complex; required for SAGA (Spt-Ada-Gcn5-Acetyltransferase)-mediated deubiquitination of histone H2B	SAGA complex ubiquitin C-terminal hydrolase Ubp8	Ortholog(s) have protein complex scaffold, ubiquitin-specific protease activity and role in RNA splicing, histone H3-K4 methylation, histone H3-K79 methylation, histone deubiquitination
FOG03433	HOG01233	UBP10	UBP10								Ubiquitin-specific protease, deubiquitinates Ub-protein moieties; interacts with proteins that function in rRNA production and ribosome biogenesis; stabilizes Rpa190p, the largest subunit of RNAP I, by mediating its deubiquitination; controls PCNA deubiquitylation; may regulate silencing by acting on Sir4p; involved in posttranscriptionally regulating Gap1p and possibly other transporters; localized to the nucleolus; human USP36 is a functional analog of Ubp10p	ubiquitin C-terminal hydrolase Ubp16	
FOG03434	HOG01233		UBP11;UBP7								Ubiquitin-specific protease; cleaves ubiquitin from ubiquitinated proteins; UBP11 has a paralog, UBP7, that arose from the whole genome duplication|Ubiquitin-specific protease that cleaves ubiquitin-protein fusions; UBP7 has a paralog, UBP11, that arose from the whole genome duplication		
FOG03435	HOG01233								added via ODB8			ubiquitin C-terminal hydrolase Ubp1	
FOG03436	HOG01234	PZF1	PZF1								Transcription factor IIIA (TFIIIA); essential DNA binding protein required for transcription of 5S rRNA by RNA polymerase III; not involved in transcription of other RNAP III genes; nine conserved zinc fingers; may also bind 5S rRNA	RNA polymerase III transcription factor TFIIIA	Ortholog(s) have cytosol, nucleus localization
